stop_name,stop_lat,location_type,stop_lon,stop_id,parent_station
Buna Ena Shay,9.0114261,0,38.7490599,node/7041071419,
Buna Ena Shay,9.0105922,0,38.7479733,node/7041071420,
Mexico Shebelle Hotel,9.0119916,0,38.7468862,node/7041071423,
TVET College (Tegbare'd),9.0105894,0,38.7429038,node/7041071425,
Federal Police (Tegbare'd),9.0103865,0,38.7426638,node/7041071429,
Lideta (Balcha Hospital),9.0109303,0,38.738603,node/7041071430,
Lideta (Balcha Hospital),9.0111161,0,38.7385604,node/7041071431,
Lideta Condominium,9.011233,0,38.7377815,node/7041071432,
Lideta Tsebel,9.0041706,0,38.733822,node/7041071433,
Dessie Hotel,9.0093091,0,38.7338119,node/7041071434,
High Court,9.0108572,0,38.7342297,node/7041071435,
Lideta High Court,9.0115829,0,38.733431,node/7041071437,
Hintsa College,9.0121559,0,38.7293132,node/7041071439,
Coca Cafe,9.0119411,0,38.7292339,node/7041071441,
Mekonenoch (Golf) Club,9.011282,0,38.7265458,node/7041071444,
Tor Hailoch Junction,9.0115616,0,38.7220202,node/7041071446,
Torhailoch,9.0119442,0,38.7216866,node/7041071447,
Tor Hailoch,9.0139112,0,38.7206478,node/7041071448,
Tor Hailoch,9.013939,0,38.7209168,node/7041071449,
Keranio Bridge,9.0194506,0,38.7089411,node/7041071450,
Medhanialem,9.0175679,0,38.7049748,node/7041071451,
Keranio Adebabay,9.0176634,0,38.7006446,node/7041071452,
Kokebe,9.0180779,0,38.6994971,node/7041071453,
Yeshi Debele,9.0195382,0,38.6954056,node/7041071454,
Yeshi Debele,9.0190748,0,38.6957701,node/7041071455,
Mariam,9.0231539,0,38.6884518,node/7041071456,
Anfo Meda,9.021983,0,38.6742682,node/7041071458,
St. Urael Church,9.0110433,0,38.7752596,node/7041071459,
Salcost Apartments (NOC),9.0104908,0,38.766397,node/7041071461,
St. Estifanos Church,9.0118738,0,38.7626376,node/7041071462,
St. Gebriel,9.0199107,0,38.7675809,node/7041071464,
Zenebewerk Hotel,9.0193852,0,38.7680315,node/7041071465,
Meles Zenawi Foundation,9.0206693,0,38.7715231,node/7041071466,
Azmari Bet (Traditional Music Club),9.0194316,0,38.770643,node/7041071468,
Kazanchis (6th),9.0166401,0,38.7702335,node/7041071469,
Hilton Hotel (Apartments),9.0196382,0,38.7638714,node/7041071471,
Women Square,9.0233468,0,38.7772342,node/7041071473,
Women Square,9.0234508,0,38.7771738,node/7041071474,
Aware Bridge,9.0244322,0,38.7765755,node/7041071475,
Arat Kilo,9.0319312,0,38.7633615,node/7041071479,
Arat Kilo,9.0321438,0,38.7652099,node/7041071480,
Bel Air,9.032458,0,38.7728461,node/7041071481,
Addis View Hotel,9.0324918,0,38.7730493,node/7041071482,
Menelik II Hospital,9.0385857,0,38.7730556,node/7041071483,
Menlik Hospital,9.0388201,0,38.7719268,node/7041071484,
Piassa Arada,9.0365871,0,38.7522029,node/7041071579,
Piassa Arada,9.0363947,0,38.7524445,node/7041071580,
Piassa Arada,9.035363,0,38.7523164,node/7041071592,
Habtegiorgis Bridge,9.0352553,0,38.7491242,node/7041071594,
Kurtu Building,9.0343899,0,38.7438917,node/7041071595,
Kurtu Building,9.0341887,0,38.7437548,node/7041071596,
Pharmacy,9.0343321,0,38.7434135,node/7041071597,
Gojam Berenda,9.0343947,0,38.737968,node/7041071598,
Autobis Tera (3),9.0342308,0,38.7337775,node/7041071599,
Autobus Tera,9.03371,0,38.7298446,node/7041071600,
Darsema Grosery,9.0338533,0,38.7294433,node/7041071601,
Millenium School,9.0408355,0,38.7101875,node/7041071602,
Girum Hospital,9.04636,0,38.7200106,node/7041071604,
Woreda 7 TVET,9.0407262,0,38.7212396,node/7041071605,
Sefere Salam,9.0366318,0,38.7219216,node/7041071606,
Kolfe,9.037044,0,38.7173824,node/7041071607,
Abysinia Coffee,9.0373422,0,38.7164487,node/7041071608,
Degu Hotel,9.0338162,0,38.7151531,node/7041071609,
18 Mazoria,9.0335338,0,38.7130781,node/7041071610,
18 Mazoria,9.0335825,0,38.7135105,node/7041071612,
Luwkanda,9.0333303,0,38.7093322,node/7041071614,
Comprensive,9.0340139,0,38.704541,node/7041071615,
Realstate,9.0327975,0,38.6951186,node/7041071616,
Police Tabiya,9.034058,0,38.6888917,node/7041071619,
Feli Doro (1),9.0342811,0,38.6875252,node/7041071620,
Feli Doro,9.0353789,0,38.6853297,node/7041071622,
Arada,9.0328103,0,38.7505925,node/7041071623,
Ras Mekonene Bridge (Seba Dereja),9.0389362,0,38.7568178,node/7041071628,
5 Kilo (History Museum),9.0385989,0,38.7625491,node/7041071629,
5 Kilo University,9.0408311,0,38.761951,node/7041071630,
Lion Zoo (PEPSI Kiosk),9.0427151,0,38.7615693,node/7041071633,
Yekatit 12 Hospital,9.0438891,0,38.7603878,node/7041071636,
Yeatit 12 Hospital,9.0436921,0,38.7593176,node/7041071637,
Red-Cross (St. George Total),9.0386136,0,38.7527639,node/7041071638,
St. George Church (Total),9.0386684,0,38.7517494,node/7041071639,
Semen Hotel,9.0436522,0,38.7488778,node/7041071640,
Semen Hotel,9.0446929,0,38.7482928,node/7041071641,
Kelemwerk,9.0486023,0,38.7461719,node/7041071642,
Kelemwerk,9.0488673,0,38.7458026,node/7041071643,
Tibeb Ediget School,9.0512494,0,38.7443439,node/7041071645,
Semen Mazegaga,9.0523631,0,38.7433813,node/7041071646,
Semen Mazagaja,9.0537306,0,38.7424925,node/7041071647,
Shegole Bank,9.0541015,0,38.7200104,node/7041071648,
Pawlos Hospital,9.0474202,0,38.7277601,node/7041071649,
Finance,9.0514832,0,38.7221677,node/7041071650,
Medhanialem (TOTAL),9.0513651,0,38.7220512,node/7041071651,
Finance,9.0528369,0,38.7201878,node/7041071653,
Finance,9.0531245,0,38.7199027,node/7041071654,
Winget Chaf,9.0544244,0,38.7149847,node/7041071655,
Mikili Land,9.051327,0,38.6987792,node/7041071658,
Winget Adebabay,9.0571703,0,38.7137033,node/7041071659,
Awolia,9.0576087,0,38.7116367,node/7041071660,
Gulele Fana,9.0577975,0,38.7067279,node/7041071661,
Gulele Fana,9.0582376,0,38.7065488,node/7041071662,
Berchiko,9.0593548,0,38.7034077,node/7041071663,
Gebriel (Sansusi),9.0665816,0,38.69045,node/7041071665,
Bono Weha,9.057952,0,38.7791204,node/7041071718,
Mezan,9.053538,0,38.7722233,node/7041071719,
3rd Shaleka,9.0470252,0,38.7690705,node/7041071721,
6 Kilo (University),9.0461753,0,38.7615547,node/7041071723,
Meksaye Hizunan Medhanialem,9.0513004,0,38.7622054,node/7041071725,
Teferi Mekonen,9.052326,0,38.7622236,node/7041071726,
Sebseba Maekel,9.0541533,0,38.7625698,node/7041071729,
Eyesus,9.0649811,0,38.7715088,node/7041071737,
Hamle 19,9.0585516,0,38.7680987,node/7041071738,
Selassie,9.0692162,0,38.7607205,node/7041071740,
Sanba Nekersa-Shiromeda,9.0745256,0,38.7590628,node/7041071741,
Kuskoam,9.0777328,0,38.7572536,node/7041071742,
Dil Ber,9.0710894,0,38.7374397,node/7041071749,
Anbessa Garage (Shegole),9.0638294,0,38.7204079,node/7041071753,
Kebt Beret,9.0691617,0,38.7182194,node/7041071754,
Entoto Kela,9.0843712,0,38.7230011,node/7041071755,
Weserbi Realestate,9.1051152,0,38.7095299,node/7041071758,
Classy Water,9.1095355,0,38.7147037,node/7041071759,
Medret Hotel,9.1100449,0,38.7158285,node/7041071760,
Kburea,9.1176074,0,38.7300979,node/7041071761,
Kenenisa,9.1179357,0,38.7304557,node/7041071762,
Shefunea,9.1273122,0,38.7395293,node/7041071763,
Shefine,9.1277902,0,38.7397834,node/7041071764,
Doro Erbata,9.1339361,0,38.7522344,node/7041071772,
Abo Gabriel,9.1341343,0,38.7524529,node/7041071773,
