route_long_name,route_short_name,agency_id,route_id,route_type,route_desc,route_color,route_text_color
Saris ↔ Autobus Tera (Minibus),Tx ADK 024,AA,15993132,3,,1779c2,ffffff
Tourist Hotel ↔ Autobus Tera (Minibus),Tx ADK 023,AA,15993248,3,,1779c2,ffffff
Mesalemia ↔ Coca Cola (Minibus),Tx ADK 035,AA,15993363,3,,1779c2,ffffff
Asko ↔ Piassa Arada (Minibus),Tx ADK 037,AA,15993376,3,,1779c2,ffffff
Tikur Anbesa ↔ Tero Mosque (Minibus),Tx ADK 055,AA,15993527,3,,1779c2,ffffff
Raguel Church ↔ Megenagna (Minibus),Tx ADK 057,AA,15993651,3,,1779c2,ffffff
Piassa ↔ Megenagna (Minibus),Tx ARD 001,AA,15998238,3,,1779c2,ffffff
Ambasader ↔ Tourist Hotel (Minibus),Tx ARD 009,AA,15998277,3,,1779c2,ffffff
Shiromeda ↔ Addisu Gebeya (Minibus),Tx Gl 006,AA,15998427,3,,1779c2,ffffff
Selam Building ↔ Saris (Minibus),Tx Kal 021,AA,15999097,3,,1779c2,ffffff
Saris Abo ↔ Kality Total (Minibus),Tx Kal 022,AA,15999123,3,,1779c2,ffffff
Gelan Condominium ↔ Saris (Minibus),Tx Kal 023,AA,15999152,3,,1779c2,ffffff
Bulbula ↔ Saris (Minibus),Tx Kal 027,AA,15999254,3,,1779c2,ffffff
Gelan Condominium ↔ Akaki Gebeya (Minibus),Tx Kal 008,AA,15999429,3,,1779c2,ffffff
Akaki Gebeya ↔ Sefera Square (Minibus),Tx Kal 009,AA,16003640,3,,1779c2,ffffff
Akaki Gebeya ↔ Saris Abo (Minibus),Tx Kal 030,AA,16004103,3,,1779c2,ffffff
Saris Abo ↔ Akaki CBE (Minibus),Tx Kal 034,AA,16004169,3,,1779c2,ffffff
Merkato ↔ Akaki Gebeya (Minibus),Tx Kal 035,AA,16004300,3,,1779c2,ffffff
Lafto ↔ Mexico (Minibus),Tx KRK 001,AA,16004409,3,,1779c2,ffffff
Bole Bridge ↔ Mexico (Minibus),Tx KRK 012,AA,16004442,3,,1779c2,ffffff
