trip_id,route_id,service_id,shape_id,direction_id,trip_headsign
331,15910058,0,15910056,1,Megenagna
332,15910153,0,15910152,0,Ferensay
333,15910153,0,15910151,1,4 Kilo
334,15910213,0,15910211,0,Megenagna
335,15910213,0,15910212,1,Kality Total
336,15910286,0,15910285,0,Megenagna
337,15910286,0,15910284,1,Ayat
338,15910343,0,15910341,0,Megenagna
339,15910343,0,15910342,1,Ferensay
340,15910407,0,15910406,0,St. George Total
341,15910407,0,15910405,1,Ferensay
342,15910507,0,15910505,0,Raguel Church
343,15910507,0,15910506,1,Ferensay
344,15910595,0,15910593,0,Mexico
345,15910595,0,15910594,1,Lamberet Menaheria
346,15912626,0,15912625,0,Kidane Mihret
347,15912626,0,15912624,1,Shola Gebeya
348,15912956,0,15912955,0,Mexico
349,15912956,0,15912954,1,Megenagna
350,15912995,0,15912994,0,Total 3 Kuter Mazoria
351,15912995,0,15912993,1,Kera
352,15913024,0,15913022,0,Kazanchis
353,15913024,0,15913023,1,Megenagna
354,15913086,0,15913085,0,Stadium
355,15913086,0,15913084,1,Autobus Tera
356,15913109,0,15913107,0,Kazanchis
357,15913109,0,15913108,1,Bole Bridge
358,15913170,0,15913168,0,Legehar
359,15913170,0,15913169,1,Kality Total
360,15913211,0,15913209,0,Wello Sefer
361,15913211,0,15913210,1,Kera
362,15913312,0,15913311,0,Stadium
363,15913312,0,15913310,1,Kera
364,15913400,0,15913399,0,Shiromeda
365,15913400,0,15913398,1,Buna Ena Shay
366,15913788,0,15913787,0,Piassa Arada
367,15913788,0,15913786,1,Adey Abeba
368,15913797,0,15913795,0,Addisu Gebeya
369,15913797,0,15913796,1,Piassa
370,15913851,0,15913850,0,Kality Total
371,15913851,0,15913849,1,Piassa Arada
372,15913986,0,15913985,0,Jemmo 1
373,15913986,0,15913984,1,Piassa Arada
374,15916307,0,15916306,0,4 Kilo
375,15916307,0,15916305,1,Megenagna
376,15916364,0,15916363,0,Piassa Arada
377,15916364,0,15916362,1,Alem Bank
378,15916401,0,15916399,0,Saris
379,15916401,0,15916400,1,Piassa Arada
380,15916629,0,15916628,0,Amanuel Total
381,15916629,0,15916627,1,Merab Hotel
382,15916756,0,15916755,0,Asko
383,15916756,0,15916754,1,Autobis Tera
384,15916839,0,15916837,0,Menlik Hospital
385,15916839,0,15916838,1,Autobus Tera
386,15916909,0,15916908,0,Abune Petros
387,15916909,0,15916907,1,Asko
388,15916957,0,15916955,0,Alem Bank
389,15916957,0,15916956,1,Autobus Tera
390,15917637,0,15917635,0,Haile Garment
391,15917637,0,15917636,1,Autobus Tera
392,15917697,0,15917696,0,Shiromeda
393,15917697,0,15917695,1,Autobus Tera
394,15917888,0,15917887,0,Kera
395,15917888,0,15917886,1,Autobus Tera
396,15917949,0,15917947,0,Kality Total
397,15917949,0,15917948,1,Autobus Tera
398,15917971,0,15917970,0,Jemmo 1
399,15917971,0,15917969,1,Autobis Tera
400,15918070,0,15918069,0,Kechenie
401,15918070,0,15918068,1,Eritrea Hotel
402,15919609,0,15919607,0,Bole Bridge
403,15919609,0,15919608,1,Cinema Ras
404,15919798,0,15919797,0,Cinema Ras
405,15919798,0,15919796,1,Bole Mekael
406,15919880,0,15919879,0,Kera
407,15919880,0,15919878,1,Cinema Ras
408,15921312,0,15921311,0,Autobus Tera
409,15921312,0,15921310,1,Asko
410,15921454,0,15921452,0,Tekle Haimanot
411,15921454,0,15921453,1,Alem Bank
412,15921591,0,15921590,0,Winget
413,15921591,0,15921589,1,Torhayloch
414,15921656,0,15921655,0,Asko
415,15921656,0,15921654,1,Atena Tera
416,15957904,0,15957902,0,Mekanisa
417,15957904,0,15957903,1,Cinema Ras
418,15958044,0,15958042,0,Megenagna
419,15958044,0,15958043,1,Cinema Ras
420,15958107,0,15958106,0,Yeshi Debele
421,15958107,0,15958105,1,Merab Hotel
422,15958349,0,15958348,0,Merab Hotel
423,15958349,0,15958347,1,Mekanisa
424,15958502,0,15958500,0,Saris Abo
425,15958502,0,15958501,1,Cinema Ras
426,15958564,0,15958562,0,Tekle Haimanot
427,15958564,0,15958563,1,Saris Abo
428,15958618,0,15958617,0,Atena Tera
429,15958618,0,15958616,1,Alem Bank
430,15958644,0,15958643,0,Bole Bridge
431,15958644,0,15958642,1,Autobus Tera
432,15958710,0,15958708,0,Raguel Church
433,15958710,0,15958709,1,Menlik Hospital
434,15960815,0,15960814,0,Kality Meneharia
435,15960815,0,15960813,1,4 Kilo
436,15960877,0,15960875,0,Piassa Arada
437,15960877,0,15960876,1,Mekanisa
438,15960944,0,15960942,0,Bole Medhanialem
439,15960944,0,15960943,1,Piassa Arada
440,15960977,0,15960976,0,Cinema Ras
441,15960977,0,15960975,1,Bole Medhanialem
442,15961078,0,15961076,0,Addisu Gebeya
443,15961078,0,15961077,1,Eritrea Hotel
444,15961305,0,15961303,0,Gojam Berenda
445,15961305,0,15961304,1,Kality Total
446,15961341,0,15961340,0,Lamberet Menaheria
447,15961341,0,15961339,1,Kality Total
448,15961494,0,15961493,0,Mexico
449,15961494,0,15961492,1,Gelan Condominium
450,15961764,0,15961763,0,Weybla Mariam
451,15961764,0,15961762,1,Merab Hotel
452,15961854,0,15961853,0,Stadium
453,15961854,0,15961852,1,Zenebewerk
454,15961885,0,15961883,0,18 Mazoria
455,15961885,0,15961884,1,22 Mazoria
456,15961978,0,15961976,0,Saris
457,15961978,0,15961977,1,Stadium
458,15962019,0,15962018,0,Saris Abo
459,15962019,0,15962017,1,Mexico
460,15962065,0,15962064,0,Piassa Arada
461,15962065,0,15962063,1,Kera
462,15962103,0,15962102,0,Stadium
463,15962103,0,15962101,1,Bole Bridge
464,15962159,0,15962157,0,Bole Mickael
465,15962159,0,15962158,1,Buna Ena Shay
466,15963098,0,15963096,0,Merab Hotel
467,15963098,0,15963097,1,Jemmo 1
468,15963187,0,15963185,0,Gofa Gebriel
469,15963187,0,15963186,1,Atena Tera
470,15963257,0,15963256,0,Ayat
471,15963257,0,15963255,1,Megenagna
472,15970722,0,15970720,0,Merkato
473,15970722,0,15970721,1,Lukanda
474,15970883,0,15970882,0,Tero Mosque
475,15970883,0,15970881,1,Merkato
476,15970955,0,15970953,0,Sebategna
477,15970955,0,15970954,1,Luwkanda
478,15971057,0,15971056,0,Luwkanda
479,15971057,0,15971055,1,Piassa Arada
480,15971140,0,15971139,0,Rufael
481,15971140,0,15971138,1,Piassa Arada
482,15973776,0,15973774,0,Piassa Arada
483,15973776,0,15973775,1,Selefia Mosque
484,15973832,0,15973831,0,Piassa Arada
485,15973832,0,15973830,1,18 Mazoria
486,15973924,0,15973923,0,Saris
487,15973924,0,15973922,1,Akaki Gebeya
488,15974268,0,15974266,0,Akaki Gebeya
489,15974268,0,15974267,1,Adey Abeba
490,15974308,0,15974306,0,Lafto
491,15974308,0,15974307,1,Jemmo 1
492,15974328,0,15974327,0,Saris
493,15974328,0,15974326,1,Yeshi Total
494,15974746,0,15974745,0,Kotebe Gebriel
495,15974746,0,15974744,1,Megenagna
496,15974793,0,15974792,0,Kotebe
497,15974793,0,15974791,1,4 Kilo
498,15974906,0,15974905,0,Yeka Abado
499,15974906,0,15974904,1,Megenagna
500,15992541,0,15992539,0,22 Mazoria
501,15992541,0,15992540,1,Summit
502,15992646,0,15992645,0,Summit
503,15992646,0,15992644,1,Bole Bridge
504,15992742,0,15992741,0,Riventy
505,15992742,0,15992740,1,Bole Mickael
506,15992882,0,15992881,0,Lomi Meda
507,15992882,0,15992880,1,Atena Tera
508,15992969,0,15992968,0,Atena Tera
509,15992969,0,15992967,1,Sebategna
510,15993132,0,15993131,0,Saris
511,15993132,0,15993130,1,Autobus Tera
512,15993248,0,15993247,0,Tourist Hotel
513,15993248,0,15993246,1,Autobus Tera
514,15993363,0,15993362,0,Mesalemia
515,15993363,0,15993361,1,Coca Cola
516,15993376,0,15993375,0,Asko
517,15993376,0,15993374,1,Piassa Arada
518,15993527,0,15993526,0,Tikur Anbesa
519,15993527,0,15993525,1,Tero Mosque
520,15993651,0,15993650,0,Raguel Church
521,15993651,0,15993649,1,Megenagna
522,15998238,0,15998236,0,Piassa
523,15998238,0,15998237,1,Megenagna
524,15998277,0,15998275,0,Ambasader
525,15998277,0,15998276,1,Tourist Hotel
526,15998427,0,15998426,0,Shiromeda
527,15998427,0,15998425,1,Addisu Gebeya
528,15999097,0,15999096,0,Selam Building
529,15999097,0,15999095,1,Saris
530,15999123,0,15999121,0,Saris Abo
531,15999123,0,15999122,1,Kality Total
532,15999152,0,15999150,0,Gelan Condominium
533,15999152,0,15999151,1,Saris
534,15999254,0,15999252,0,Bulbula
535,15999254,0,15999253,1,Saris
536,15999429,0,15999427,0,Gelan Condominium
537,15999429,0,15999428,1,Akaki Gebeya
538,16003640,0,16003638,0,Akaki Gebeya
539,16003640,0,16003639,1,Sefera Square
540,16004103,0,16004101,0,Akaki Gebeya
541,16004103,0,16004102,1,Saris Abo
542,16004169,0,16004168,0,Saris Abo
543,16004169,0,16004167,1,Akaki CBE
544,16004300,0,16004299,0,Merkato
545,16004300,0,16004298,1,Akaki Gebeya
546,16004409,0,16004408,0,Lafto
547,16004409,0,16004407,1,Mexico
548,16004442,0,16004440,0,Bole Bridge
549,16004442,0,16004441,1,Mexico
550,16004670,0,16004669,0,Woyira Sefer
551,16004670,0,16004668,1,Mexico Shebelle Hotel
552,16006993,0,16006992,0,Selefia Mosque
553,16006993,0,16006991,1,Merab Hotel
554,16007055,0,16007053,0,Zenebewerk
555,16007055,0,16007054,1,Asko
556,16007115,0,16007114,0,Kara Kore
557,16007115,0,16007113,1,Piassa Arada
558,16007166,0,16007165,0,Gofa Gebriel
559,16007166,0,16007164,1,Adey Abeba
560,16007247,0,16007245,0,Jemmo 1
561,16007247,0,16007246,1,Cinema Ras
562,16007282,0,16007281,0,Mexico Shebelle Hotel
563,16007282,0,16007280,1,Lafto
564,16007348,0,16007346,0,Kera
565,16007348,0,16007347,1,Tafo Square
566,16007491,0,16007490,0,Abenet
567,16007491,0,16007489,1,Weleta
568,16007565,0,16007563,0,Torhayloch
569,16007565,0,16007564,1,Alem Gena
570,16007600,0,16007599,0,Weleta
571,16007600,0,16007598,1,Mexico
572,16007791,0,16007790,0,Mexico
573,16007791,0,16007789,1,Amanuel Church
574,16007850,0,16007849,0,Alem Gena
575,16007850,0,16007848,1,Abenet
576,16007931,0,16007930,0,Raguel Church
577,16007931,0,16007929,1,Megenagna
578,16008090,0,16008088,0,Autobus Tera
579,16008090,0,16008089,1,Lamberet MenaherIa
